c1,c2,c3,c4,e,p,s,t
51,0,0,0,0,31.75,1,1539734641637
37,0,0,0,11,33.75,50,1539774256239
0,0,0,0,11,33.75,140,1539774263938
37,0,0,0,8,34.8,50,1539774718409
37,0,0,0,11,34.05,60,1539775028758
37,0,0,0,11,34.01,40,1539775028758
37,0,0,0,11,34.01,10,1539775028759
37,0,0,0,11,34,40,1539775028761
37,0,0,0,11,34,10,1539775041571
37,0,0,0,11,34,40,1539775465910
37,0,0,0,11,34,50,1539775854809
0,0,0,0,11,34.26,100,1539776469686
37,0,0,0,11,34.26,10,1539776469686
37,0,0,0,11,34.25,90,1539776469686
14,37,41,0,11,34.4,50,1539776780140
14,37,41,0,11,34.5,50,1539776780140
14,41,0,0,11,34.5,164,1539776780140
37,0,0,0,8,34.49,10,1539776780144
14,41,0,0,11,34.7,126,1539776787481
14,41,0,0,11,34.9,164,1539776878778
14,41,0,0,11,35.47,264,1539776965578
14,41,0,0,11,35.5,1000,1539776965578
14,41,0,0,8,35.5,100,1539776965578
37,0,0,0,11,35.5,61,1539776965583
0,0,0,0,11,36.1,161,1539777106944
0,0,0,0,11,36,100,1539777108386
0,0,0,0,11,36,1336,1539777108386
14,41,0,0,11,36.01,100,1539777490102
0,0,0,0,4,34.7499,500,1539777600856
0,0,0,0,4,34.75,100,1539777600856
0,0,0,0,4,35.95,150,1539777601986
37,0,0,0,4,34.75,65,1539777601993
0,0,0,0,4,34.9999,1100,1539777601993
0,0,0,0,4,34.7,474,1539777601997
37,0,0,0,4,34.5,86,1539777602000
37,0,0,0,4,35.95,22,1539777602028
0,0,0,0,4,35,1800,1539777602032
0,0,0,0,4,36.1,1955,1539777602060
37,0,0,0,4,36.3,25,1539777730698
37,0,0,0,4,36.39,25,1539777730699
0,0,0,0,4,34.25,1000,1539777768360
32,0,0,0,4,34,150,1539778637453
0,0,0,0,4,34.34,650,1539779320335
0,0,0,0,4,34.34,250,1539779501330
0,0,0,0,11,34.9,100,1539779796076
0,0,0,0,11,34.9,100,1539779798565
14,37,41,0,11,34.5,25,1539780106443
14,41,0,0,11,34.5,1575,1539780106443
14,41,0,0,11,34.43,100,1539780106443
14,41,0,0,11,34.34,100,1539780106443
14,41,0,0,8,34.41,100,1539780106443
14,41,0,0,8,34.41,100,1539780106443
14,41,0,0,8,34.37,200,1539780106443
14,41,0,0,8,34.37,100,1539780106443
14,41,0,0,8,34.34,200,1539780106443
14,41,0,0,8,34.34,100,1539780110065
37,0,0,0,4,34.34,50,1539780412137
0,0,0,0,11,34.77,300,1539780577627
14,37,41,0,12,34.86,78,1539780747022
14,37,41,0,8,34.77,78,1539780747022
0,0,0,0,4,34.9999,3000,1539780844697
14,41,0,0,11,34.93,200,1539780865728
0,0,0,0,11,35,100,1539780906074
0,0,0,0,11,35.2,100,1539780953193
0,0,0,0,11,35.25,100,1539781024479
0,0,0,0,11,35.4,800,1539781028431
0,0,0,0,11,35.4,200,1539781028431
37,0,0,0,4,35.8,15,1539781043193
37,0,0,0,11,35.4,1,1539781152604
37,0,0,0,11,35.4,3,1539781211032
37,0,0,0,11,35.4,3,1539781319968
37,0,0,0,11,35.4,11,1539781344489
37,0,0,0,4,35.7917,30,1539781490969
37,0,0,0,4,35.775,10,1539781526170
14,37,41,0,11,35.5,32,1539781643357
14,37,41,0,11,35.44,68,1539781643357
14,41,0,0,8,35.72,100,1539781656273
0,0,0,0,4,35.65,700,1539781709046
37,0,0,0,4,35.73,1,1539781733380
37,0,0,0,11,35.58,5,1539781771689
14,41,0,0,11,35.58,100,1539781776309
0,0,0,0,4,35.65,1000,1539781778706
0,0,0,0,11,35.41,500,1539781791892
0,0,0,0,11,35.41,400,1539781791892
0,0,0,0,11,35.41,100,1539781792916
0,0,0,0,4,35.55,250,1539782134085
37,0,0,0,4,35.56,55,1539782170679
0,0,0,0,12,35.49,100,1539782241566
14,37,41,0,8,35.64,73,1539782398287
14,37,41,0,8,35.75,5,1539782398287
14,41,0,0,8,35.75,122,1539782398287
14,37,41,0,8,35.75,20,1539782398411
14,37,41,0,8,35.74,61,1539782407437
14,41,0,0,8,35.74,139,1539782407437
14,41,0,0,8,35.75,108,1539782407437
14,37,41,0,11,35.8,4,1539782407453
14,41,0,0,11,35.9,688,1539782407453
0,0,0,0,11,35.9,312,1539782407453
37,0,0,0,12,35.73,25,1539782407454
14,41,0,0,8,35.75,100,1539782444057
0,0,0,0,8,35.75,200,1539782446510
14,37,41,0,11,35.9,25,1539782498498
14,37,41,0,11,35.97,61,1539782498498
14,41,0,0,11,35.97,139,1539782498498
14,41,0,0,11,36,200,1539782498498
14,37,41,0,11,36,75,1539782498498
37,0,0,0,11,35.56,1,1539782534431
0,0,0,0,11,35.9,300,1539782682138
0,0,0,0,11,36,125,1539782682139
0,0,0,0,11,36,300,1539782682139
0,0,0,0,11,36,386,1539782682139
14,41,0,0,11,36,317,1539782684167
14,41,0,0,11,36.07,183,1539782684179
14,41,0,0,11,36.07,100,1539782685837
14,41,0,0,11,36.07,217,1539782686057
14,37,41,0,11,36.3,66,1539782688287
14,41,0,0,11,36.39,434,1539782688287
14,41,0,0,12,36.37,100,1539782692060
14,41,0,0,11,36.37,100,1539782742515
37,0,0,0,4,36.15,4,1539782844149
0,0,0,0,11,36.25,100,1539782885047
14,37,41,0,12,36.15,40,1539782885049
14,37,41,0,12,36.19,1,1539782885049
14,37,41,0,12,36.2,89,1539782885049
14,37,41,0,8,36.37,1,1539783000057
14,37,41,0,8,36.37,99,1539783000057
37,0,0,0,8,36.37,1,1539783000057
37,0,0,0,18,35.88,66,1539783000340
51,0,0,0,0,36.41,,1539783005024
51,0,0,0,0,36.42,,1539783005024
14,41,0,0,8,36.41,100,1539783005024
14,41,0,0,8,36.42,400,1539783005024
37,0,0,0,8,36.42,30,1539783005024
14,37,41,0,8,36.42,45,1539783005715
51,0,0,0,0,36.47,,1539783012891
51,0,0,0,0,36.6,,1539783012891
14,37,41,0,19,36.43,3,1539783012891
14,37,41,0,8,36.42,25,1539783012891
14,41,0,0,19,36.47,100,1539783012891
14,41,0,0,8,36.45,300,1539783012891
14,41,0,0,11,36.6,161,1539783012891
14,41,0,0,8,36.5,1000,1539783012891
14,37,41,0,18,36.34,66,1539783012891
14,41,0,0,19,36.49,100,1539783012891
25,16,0,0,11,36.6,161,1539783012891
14,41,0,0,8,36.5,100,1539783012891
14,41,0,0,19,36.5,100,1539783012891
14,41,0,0,8,36.53,100,1539783012891
14,41,0,0,19,36.51,100,1539783012891
14,41,0,0,8,36.54,100,1539783012891
14,41,0,0,19,36.56,100,1539783012891
14,37,41,0,12,36.34,66,1539783012891
14,37,41,0,2,36.34,66,1539783012891
14,41,0,0,19,36.6,200,1539783012891
14,41,0,0,12,36.43,100,1539783012891
0,0,0,0,12,36.43,100,1539783012891
14,41,0,0,19,36.55,100,1539783012891
25,16,0,0,12,36.34,66,1539783012891
14,41,0,0,12,36.43,100,1539783012891
14,41,0,0,12,36.43,700,1539783012891
14,41,0,0,12,36.55,200,1539783012891
51,0,0,0,0,36.72,,1539783012893
51,0,0,0,0,36.75,,1539783012893
14,41,0,0,11,36.72,100,1539783012893
14,41,0,0,8,36.75,130,1539783012893
14,41,0,0,19,36.74,100,1539783012893
14,37,41,0,12,36.73,25,1539783012893
14,37,41,0,12,36.8,66,1539783012893
0,0,0,0,11,36.57,100,1539783012893
51,0,0,0,0,36.96,,1539783012894
51,0,0,0,0,36.97,,1539783012894
14,41,0,0,19,36.96,100,1539783012894
14,41,0,0,19,36.97,100,1539783012894
51,0,0,0,0,37,,1539783012895
14,41,0,0,12,36.97,100,1539783012895
0,0,0,0,11,36.72,200,1539783012895
0,0,0,0,11,36.72,100,1539783012895
14,37,41,0,8,36.98,75,1539783012895
14,41,0,0,11,37,1000,1539783012895
14,41,0,0,8,36.99,150,1539783012895
14,41,0,0,11,37,500,1539783012895
14,37,41,0,8,37,2,1539783012895
14,41,0,0,11,37,100,1539783012895
14,37,41,0,8,37,5,1539783012895
14,37,41,0,11,37,5,1539783012895
0,0,0,0,19,36.97,100,1539783012895
0,0,0,0,19,36.67,100,1539783012895
0,0,0,0,19,36.66,100,1539783012895
37,0,0,0,12,36.82,30,1539783012895
0,0,0,0,12,36.67,100,1539783012895
0,0,0,0,12,36.67,100,1539783012896
0,0,0,0,12,36.67,100,1539783012896
37,0,0,0,12,36.67,70,1539783012896
0,0,0,0,12,36.68,100,1539783012896
51,0,0,0,0,37.23,,1539783012897
0,0,0,0,18,36.61,100,1539783012897
0,0,0,0,18,36.6,100,1539783012897
0,0,0,0,18,36.58,100,1539783012897
0,0,0,0,18,36.58,100,1539783012897
14,41,0,0,19,36.99,100,1539783012897
14,41,0,0,19,37.23,100,1539783012897
51,0,0,0,0,37.3,,1539783012898
51,0,0,0,0,37.35,,1539783012898
37,0,0,0,18,36.57,6,1539783012898
37,0,0,0,18,36.57,94,1539783012898
37,0,0,0,18,36.58,6,1539783012898
37,0,0,0,18,36.58,10,1539783012898
14,41,0,0,11,37.3,200,1539783012898
14,37,41,0,12,37.04,3,1539783012898
14,41,0,0,12,37.15,100,1539783012898
0,0,0,0,18,36.58,100,1539783012898
14,41,0,0,12,37.24,100,1539783012898
0,0,0,0,18,36.58,100,1539783012898
14,41,0,0,12,37.35,300,1539783012898
37,0,0,0,18,36.58,1,1539783012898
0,0,0,0,18,36.58,100,1539783012898
37,0,0,0,18,36.58,8,1539783012898
37,0,0,0,8,37,30,1539783012898
0,0,0,0,11,36.84,100,1539783012898
14,41,0,0,18,36.82,100,1539783012899
14,37,41,0,19,37.23,6,1539783012903
14,37,41,0,19,37.23,10,1539783012903
37,0,0,0,18,36.79,10,1539783012903
0,0,0,0,18,36.79,100,1539783012903
14,37,41,0,11,37.3,30,1539783012903
14,37,41,0,12,37.22,6,1539783012903
14,37,41,0,12,37.23,94,1539783012903
14,37,41,0,12,37.23,95,1539783012903
0,0,0,0,18,36.79,100,1539783012903
14,41,0,0,17,37.24,100,1539783012903
14,37,41,0,12,37.09,9,1539783012905
0,0,0,0,19,36.79,100,1539783012907
37,0,0,0,7,36.79,1,1539783012907
37,0,0,0,7,36.79,31,1539783012907
0,0,0,0,8,36.76,100,1539783012910
14,37,41,0,12,36.7,2,1539783013900
14,37,41,0,12,36.7,5,1539783013901
14,37,41,0,12,36.7,2,1539783013901
0,0,0,0,19,36.59,100,1539783015028
0,0,0,0,19,36.58,100,1539783015028
0,0,0,0,11,36.56,100,1539783015029
0,0,0,0,11,36.58,100,1539783015029
0,0,0,0,11,36.58,100,1539783015029
14,37,41,0,19,36.58,10,1539783020026
14,37,41,0,19,36.58,90,1539783020026
37,0,0,0,12,36.53,82,1539783020470
37,0,0,0,12,36.58,14,1539783020470
37,0,0,0,12,36.58,6,1539783020470
37,0,0,0,8,36.76,98,1539783020476
37,0,0,0,8,36.39,1,1539783020598
37,0,0,0,19,36.58,10,1539783057470
0,0,0,0,2,36.63,100,1539783063146
0,0,0,0,2,36.6,100,1539783063146
0,0,0,0,2,36.59,100,1539783063146
37,0,0,0,8,36.76,2,1539783063146
37,0,0,0,8,36.76,32,1539783063146
0,0,0,0,11,36.58,100,1539783063146
0,0,0,0,11,36.58,300,1539783063146
0,0,0,0,18,36.62,100,1539783063146
0,0,0,0,8,36.63,100,1539783063146
37,0,0,0,12,36.87,25,1539783063146
14,41,0,0,8,36.62,100,1539783063146
14,41,0,0,18,36.62,100,1539783063146
14,41,0,0,19,36.62,100,1539783063146
14,41,0,0,7,36.62,100,1539783063146
14,41,0,0,12,36.62,100,1539783063146
14,41,0,0,2,36.62,100,1539783063146
0,0,0,0,19,36.5,100,1539783063155
37,0,0,0,19,36.5,32,1539783063157
0,0,0,0,19,36.5,100,1539783063157
0,0,0,0,19,36.5,100,1539783063157
37,0,0,0,19,36.5,68,1539783063157
37,0,0,0,19,36.5,32,1539783063157
0,0,0,0,19,36.5,100,1539783063160
0,0,0,0,19,36.5,100,1539783063161
0,0,0,0,19,36.5,100,1539783063163
0,0,0,0,19,36.5,100,1539783063164
0,0,0,0,19,36.5,100,1539783063165
0,0,0,0,19,36.5,100,1539783063167
0,0,0,0,19,36.5,100,1539783063168
0,0,0,0,19,36.5,100,1539783063169
0,0,0,0,19,36.5,100,1539783063170
0,0,0,0,19,36.5,100,1539783063172
0,0,0,0,19,36.5,100,1539783063173
0,0,0,0,19,36.5,100,1539783063174
0,0,0,0,19,36.5,100,1539783063177
0,0,0,0,19,36.5,100,1539783063178
0,0,0,0,19,36.5,100,1539783063180
0,0,0,0,19,36.5,100,1539783063181
0,0,0,0,19,36.5,100,1539783063182
0,0,0,0,19,36.5,100,1539783063184
0,0,0,0,19,36.5,100,1539783063271
14,41,0,0,19,36.5,100,1539783063536
0,0,0,0,19,36.5,100,1539783063536
14,41,0,0,19,36.5,100,1539783065029
0,0,0,0,11,36.49,100,1539783065541
0,0,0,0,19,36.49,100,1539783065541
0,0,0,0,11,36.49,100,1539783065541
0,0,0,0,19,36.49,100,1539783065541
0,0,0,0,19,36.49,100,1539783065541
51,0,0,0,0,36.39,,1539783070023
0,0,0,0,11,36.39,100,1539783070023
37,0,0,0,12,36.42,25,1539783070024
25,0,0,0,10,36.48,49748,1539783082048
10,41,0,0,4,36.48,1066,1539783082050
0,0,0,0,4,36.45,500,1539783082054
51,0,0,0,0,36.25,,1539783082055
14,41,0,0,10,36.25,500,1539783082055
14,41,0,0,12,36.31,139,1539783082055
14,41,0,0,12,36.25,100,1539783082055
0,0,0,0,12,36.25,100,1539783082055
0,0,0,0,18,36.27,100,1539783082055
51,0,0,0,0,36.2,,1539783082056
14,41,0,0,11,36.29,100,1539783082056
0,0,0,0,4,36.25,100,1539783082056
14,41,0,0,11,36.2,100,1539783082056
14,41,0,0,18,36.21,100,1539783082057
0,0,0,0,4,36.25,100,1539783082057
37,0,0,0,4,36.4262,5,1539783082057
0,0,0,0,4,36.25,250,1539783082058
0,0,0,0,4,36.25,100,1539783082058
0,0,0,0,4,36.25,500,1539783082058
14,41,0,0,7,36.2,100,1539783082059
0,0,0,0,4,36.25,400,1539783082059
37,0,0,0,12,36.29,19,1539783082059
0,0,0,0,4,36.25,163,1539783082059
37,0,0,0,19,36.17,50,1539783082062
10,41,0,0,4,36.48,500,1539783082086
10,41,0,0,4,36.48,250,1539783082087
0,0,0,0,4,36.25,100,1539783082170
51,0,0,0,0,36.13,,1539783082857
0,0,0,0,4,36.13,3000,1539783082857
37,0,0,0,10,36.17,69,1539783082870
51,0,0,0,0,36.125,,1539783082871
0,0,0,0,4,36.125,100,1539783082871
37,0,0,0,2,36.111,31,1539783082873
51,0,0,0,0,36.111,,1539783082889
0,0,0,0,2,36.111,200,1539783082889
0,0,0,0,2,36.111,169,1539783082904
37,0,0,0,18,36.111,31,1539783082904
0,0,0,0,18,36.111,200,1539783082918
0,0,0,0,18,36.111,169,1539783082933
37,0,0,0,10,36.111,31,1539783082933
0,0,0,0,10,36.111,200,1539783082948
51,0,0,0,0,36.11,,1539783082952
0,0,0,0,4,36.11,300,1539783082952
14,41,0,0,12,36.11,100,1539783083057
14,41,0,0,12,36.11,100,1539783083057
51,0,0,0,0,36.06,,1539783083058
14,41,0,0,10,36.06,200,1539783083058
14,41,0,0,19,36.06,100,1539783083059
14,41,0,0,19,36.06,100,1539783083059
14,41,0,0,19,36.06,100,1539783083059
14,41,0,0,19,36.06,100,1539783083059
14,41,0,0,19,36.06,100,1539783083059
14,41,0,0,19,36.06,100,1539783083059
14,41,0,0,19,36.06,100,1539783083059
14,41,0,0,19,36.06,100,1539783083059
0,0,0,0,8,36.15,100,1539783083059
0,0,0,0,19,36.15,100,1539783083059
14,41,0,0,2,36.11,100,1539783083059
51,0,0,0,0,36.02,,1539783083060
14,41,0,0,12,36.02,100,1539783083060
0,0,0,0,12,36.02,100,1539783083060
51,0,0,0,0,36.01,,1539783083061
14,37,41,0,12,36.02,50,1539783083061
14,37,41,0,12,36.02,50,1539783083061
37,0,0,0,12,36.02,50,1539783083061
14,41,0,0,12,36.01,100,1539783083061
14,41,0,0,19,36.11,100,1539783083062
0,0,0,0,12,36.11,100,1539783083062
14,41,0,0,12,36.01,100,1539783083063
0,0,0,0,10,36.11,100,1539783083063
0,0,0,0,4,36.075,100,1539783083065
0,0,0,0,4,36.02,100,1539783083073
0,0,0,0,12,36.04,100,1539783083415
0,0,0,0,12,36.02,100,1539783083415
0,0,0,0,4,36.172,200,1539783083994
14,41,0,0,12,36.02,100,1539783084055
14,41,0,0,12,36.02,161,1539783084055
14,41,0,0,12,36.01,800,1539783084062
0,0,0,0,12,36.12,100,1539783084064
0,0,0,0,12,36.21,100,1539783084064
0,0,0,0,2,36.13,100,1539783084064
0,0,0,0,12,36.25,100,1539783084064
0,0,0,0,17,36.32,100,1539783084064
0,0,0,0,12,36.26,100,1539783084064
0,0,0,0,12,36.29,100,1539783084064
0,0,0,0,12,36.32,100,1539783084064
0,0,0,0,12,36.32,644,1539783084064
0,0,0,0,4,36.01,700,1539783084066
0,0,0,0,4,36.145,100,1539783084069
37,0,0,0,15,36.16,17,1539783084177
37,0,0,0,15,36.16,83,1539783084177
0,0,0,0,15,36.27,100,1539783084519
0,0,0,0,4,36.1816,100,1539783084752
0,0,0,0,4,36.27,100,1539783084868
0,0,0,0,3,36.4,100,1539783085204
14,41,0,0,11,36.4,100,1539783085205
14,41,0,0,11,36.4,102,1539783085205
0,0,0,0,11,36.4,100,1539783085205
14,41,0,0,10,36.38,100,1539783085205
0,0,0,0,12,36.37,100,1539783085205
0,0,0,0,10,36.4,100,1539783085205
0,0,0,0,12,36.4,100,1539783085205
0,0,0,0,17,36.4,100,1539783085205
0,0,0,0,8,36.4,100,1539783085205
14,41,0,0,10,36.4,102,1539783085205
14,41,0,0,12,36.4,102,1539783085205
14,41,0,0,2,36.4,100,1539783085205
14,41,0,0,8,36.4,100,1539783085205
0,0,0,0,19,36.4,100,1539783085205
14,41,0,0,11,36.45,100,1539783085205
14,41,0,0,12,36.4,100,1539783085205
14,41,0,0,18,36.4,100,1539783085205
0,0,0,0,2,36.4,100,1539783085205
14,41,0,0,19,36.4,102,1539783085205
14,37,41,0,11,36.45,2,1539783085205
14,41,0,0,8,36.4,102,1539783085205
14,41,0,0,12,36.4,100,1539783085205
0,0,0,0,18,36.4,100,1539783085205
14,41,0,0,19,36.4,100,1539783085205
37,0,0,0,12,36.4,55,1539783085205
37,0,0,0,11,36.45,54,1539783085205
37,0,0,0,11,36.45,44,1539783085205
14,41,0,0,12,36.4,200,1539783085205
37,0,0,0,19,36.45,55,1539783085205
37,0,0,0,19,36.45,45,1539783085205
37,0,0,0,19,36.45,55,1539783085205
14,41,0,0,12,36.45,100,1539783085205
0,0,0,0,4,36.4,100,1539783085205
0,0,0,0,4,36.4,100,1539783085205
0,0,0,0,4,36.4,102,1539783085206
0,0,0,0,4,36.4,100,1539783085206
0,0,0,0,4,36.425,100,1539783085207
0,0,0,0,4,36.4125,100,1539783085315
37,0,0,0,11,36.3,30,1539783085412
0,0,0,0,4,36.46,100,1539783085523
0,0,0,0,4,36.305,100,1539783085648
0,0,0,0,4,36.2792,270,1539783086073
0,0,0,0,4,36.1608,500,1539783087213
37,0,0,0,4,36.198,15,1539783090717
0,0,0,0,11,36.44,100,1539783095873
0,0,0,0,11,36.45,1000,1539783095873
0,0,0,0,11,36.45,870,1539783095873
37,0,0,0,10,36.38,15,1539783095873
37,0,0,0,10,36.41,10,1539783095873
37,0,0,0,10,36.41,15,1539783095874
0,0,0,0,8,36.29,100,1539783095974
0,0,0,0,8,36.28,100,1539783095974
0,0,0,0,8,36.28,100,1539783095974
0,0,0,0,8,36.25,109,1539783095974
14,41,0,0,8,36.25,191,1539783095974
0,0,0,0,15,36.45,100,1539783095987
0,0,0,0,4,36.45,200,1539783096532
0,0,0,0,12,36.44,100,1539783097536
0,0,0,0,12,36.45,200,1539783097536
0,0,0,0,19,36.35,100,1539783097536
0,0,0,0,15,36.45,100,1539783097536
0,0,0,0,15,36.45,100,1539783097537
0,0,0,0,11,36.22,100,1539783097702
0,0,0,0,4,36.45,100,1539783098157
0,0,0,0,4,36.45,100,1539783098157
0,0,0,0,15,36.45,100,1539783098159
0,0,0,0,15,36.45,500,1539783098159
0,0,0,0,4,36.5,100,1539783098163
0,0,0,0,4,36.5,100,1539783098163
0,0,0,0,10,36.5,825,1539783098164
0,0,0,0,19,36.5,100,1539783098164
0,0,0,0,19,36.5,100,1539783098165
0,0,0,0,10,36.5,750,1539783098165
0,0,0,0,19,36.49,100,1539783098166
0,0,0,0,19,36.5,100,1539783098166
0,0,0,0,19,36.5,3800,1539783098166
0,0,0,0,19,36.5,100,1539783098315
37,0,0,0,19,36.5,67,1539783098316
37,0,0,0,19,36.5,33,1539783098316
0,0,0,0,19,36.5,100,1539783098534
0,0,0,0,4,36.397,100,1539783098539
37,0,0,0,4,36.499,3,1539783098769
14,41,0,0,19,36.5,100,1539783098841
14,41,0,0,19,36.5,100,1539783098841
0,0,0,0,19,36.5,100,1539783098841
14,41,0,0,19,36.5,100,1539783098842
14,41,0,0,19,36.5,100,1539783098842
14,37,41,0,19,36.5,1,1539783098911
0,0,0,0,19,36.5,100,1539783099536
14,41,0,0,19,36.5,100,1539783099966
0,0,0,0,19,36.5,100,1539783100571
14,41,0,0,19,36.5,100,1539783100571
0,0,0,0,19,36.5,100,1539783101541
0,0,0,0,19,36.5,100,1539783102545
0,0,0,0,19,36.5,100,1539783103548
0,0,0,0,19,36.5,100,1539783104548
0,0,0,0,10,36.5,500,1539783105550
0,0,0,0,19,36.5,100,1539783106562
0,0,0,0,19,36.5,100,1539783107552
0,0,0,0,19,36.5,100,1539783107553
0,0,0,0,19,36.5,100,1539783107553
14,41,0,0,19,36.5,100,1539783107639
14,41,0,0,19,36.5,100,1539783107646
14,41,0,0,19,36.5,300,1539783107646
37,0,0,0,4,36.5,55,1539783107931
0,0,0,0,15,36.5,100,1539783108558
0,0,0,0,4,36.4434,500,1539783109803
0,0,0,0,19,36.5,100,1539783109918
0,0,0,0,19,36.5,100,1539783110563
0,0,0,0,19,36.5,100,1539783110564
0,0,0,0,2,36.47,100,1539783110564
0,0,0,0,2,36.46,100,1539783110564
0,0,0,0,19,36.5,100,1539783110564
0,0,0,0,4,36.5,130,1539783112665
0,0,0,0,19,36.5,100,1539783112666
0,0,0,0,10,36.5,100,1539783112666
0,0,0,0,19,36.5,100,1539783113563
0,0,0,0,4,36.412,600,1539783114220
0,0,0,0,19,36.5,100,1539783114221
0,0,0,0,4,36.3583,1170,1539783114222
37,0,0,0,19,36.5,35,1539783114222
14,41,0,0,19,36.5,100,1539783114223
0,0,0,0,12,36.5,200,1539783114566
0,0,0,0,19,36.5,100,1539783114567
14,41,0,0,19,36.5,100,1539783114567
0,0,0,0,19,36.5,100,1539783114567
0,0,0,0,19,36.5,100,1539783114892
0,0,0,0,19,36.5,100,1539783114892
0,0,0,0,19,36.5,100,1539783114893
0,0,0,0,19,36.5,100,1539783114897
0,0,0,0,4,36.5,500,1539783115035
0,0,0,0,19,36.5,100,1539783115036
0,0,0,0,19,36.5,100,1539783115166
0,0,0,0,19,36.5,100,1539783115678
0,0,0,0,4,36.5,100,1539783117919
0,0,0,0,19,36.5,100,1539783117920
14,41,0,0,19,36.5,100,1539783117920
0,0,0,0,19,36.5,100,1539783117921
0,0,0,0,19,36.5,4800,1539783117921
0,0,0,0,19,36.5,100,1539783117921
14,41,0,0,19,36.5,100,1539783117921
14,41,0,0,19,36.5,100,1539783117927
14,41,0,0,19,36.5,100,1539783117929
0,0,0,0,4,36.4802,1000,1539783118349
0,0,0,0,19,36.5,100,1539783118350
14,41,0,0,19,36.5,100,1539783118352
0,0,0,0,19,36.5,100,1539783118597
0,0,0,0,19,36.5,100,1539783119574
0,0,0,0,19,36.5,100,1539783119575
0,0,0,0,19,36.5,100,1539783120022
0,0,0,0,19,36.5,100,1539783120023
0,0,0,0,19,36.5,100,1539783120024
0,0,0,0,19,36.5,100,1539783120032
0,0,0,0,19,36.5,6632,1539783120032
0,0,0,0,10,36.55,100,1539783120033
14,41,0,0,10,36.6,100,1539783120036
14,37,41,0,10,36.64,50,1539783120039
14,41,0,0,12,36.66,100,1539783120039
14,37,41,0,12,36.69,50,1539783120039
0,0,0,0,12,36.65,140,1539783120188
0,0,0,0,4,36.65,200,1539783120189
0,0,0,0,12,36.51,100,1539783120244
0,0,0,0,11,36.49,100,1539783120244
0,0,0,0,12,36.5,100,1539783120244
0,0,0,0,11,36.46,100,1539783120244
0,0,0,0,12,36.48,100,1539783120244
0,0,0,0,19,36.48,100,1539783120244
0,0,0,0,18,36.49,100,1539783120245
37,0,0,0,15,36.565,30,1539783120339
37,0,0,0,15,36.59,70,1539783120404
14,41,0,0,12,36.45,100,1539783120432
14,41,0,0,12,36.45,100,1539783120432
14,37,41,0,19,36.45,39,1539783120432
14,41,0,0,12,36.45,100,1539783120432
0,0,0,0,4,36.45,100,1539783120433
0,0,0,0,4,36.45,100,1539783120433
0,0,0,0,4,36.375,190,1539783120554
0,0,0,0,12,36.45,100,1539783120574
0,0,0,0,12,36.45,100,1539783120575
0,0,0,0,4,36.5925,100,1539783120653
0,0,0,0,4,36.6175,100,1539783120672
0,0,0,0,19,36.55,300,1539783120692
0,0,0,0,4,36.68,100,1539783120703
0,0,0,0,4,36.675,100,1539783120703
0,0,0,0,4,36.675,100,1539783120817
0,0,0,0,4,36.68,100,1539783120961
0,0,0,0,4,36.655,100,1539783121178
0,0,0,0,4,36.655,100,1539783121179
0,0,0,0,4,36.655,100,1539783121180
0,0,0,0,4,36.375,100,1539783121202
0,0,0,0,4,36.38,100,1539783121203
0,0,0,0,4,36.32,100,1539783121283
0,0,0,0,4,36.325,100,1539783121327
14,41,0,0,10,36.61,100,1539783121489
0,0,0,0,10,36.61,100,1539783121592
14,41,0,0,12,36.45,100,1539783121884
14,41,0,0,12,36.41,100,1539783121884
14,41,0,0,12,36.34,100,1539783121889
0,0,0,0,12,36.42,100,1539783123506
0,0,0,0,19,36.43,100,1539783123506
0,0,0,0,19,36.36,100,1539783123506
37,0,0,0,19,36.48,15,1539783125377
0,0,0,0,4,36.54,100,1539783125528
0,0,0,0,4,36.54,100,1539783125528
0,0,0,0,4,36.535,100,1539783125669
0,0,0,0,4,36.5619,100,1539783126896
0,0,0,0,10,36.46,100,1539783129461
0,0,0,0,4,36.55,400,1539783133107
37,0,0,0,4,36.4301,2,1539783134407
0,0,0,0,8,36.55,100,1539783135026
0,0,0,0,2,36.63,100,1539783136091
0,0,0,0,2,36.64,100,1539783136091
0,0,0,0,2,36.64,100,1539783136091
0,0,0,0,18,36.65,100,1539783136091
14,41,0,0,11,36.61,100,1539783136092
0,0,0,0,12,36.65,100,1539783136092
0,0,0,0,15,36.65,100,1539783136092
0,0,0,0,10,36.65,100,1539783136093
0,0,0,0,4,36.64,100,1539783136102
0,0,0,0,8,36.59,100,1539783136174
37,0,0,0,4,36.69,45,1539783136634
0,0,0,0,12,36.69,100,1539783136685
37,0,0,0,15,36.7,10,1539783136823
14,41,0,0,12,36.7,390,1539783136840
37,0,0,0,12,36.7,21,1539783136840
0,0,0,0,12,36.7,300,1539783136840
37,0,0,0,10,36.7,50,1539783136840
0,0,0,0,12,36.7,181,1539783136841
14,41,0,0,12,36.7,18274,1539783137389
14,41,0,0,10,36.75,227,1539783137389
0,0,0,0,10,36.77,100,1539783137390
0,0,0,0,8,36.75,100,1539783137390
14,37,41,0,8,36.75,45,1539783137390
14,41,0,0,10,36.75,100,1539783137390
37,0,0,0,8,36.75,1,1539783137390
37,0,0,0,8,36.75,54,1539783137390
0,0,0,0,8,36.74,100,1539783137390
14,41,0,0,10,36.72,100,1539783137391
